연도,월,용도,공급량
2016,1,도시가스,2645618
2016,2,도시가스,2191413
2016,3,도시가스,1849750
2016,4,도시가스,1218500
2016,5,도시가스,978755
2016,6,도시가스,871966
2016,7,도시가스,875081
2016,8,도시가스,801635
2016,9,도시가스,805093
2016,10,도시가스,1080685
2016,11,도시가스,1736334
2016,12,도시가스,2321103
2017,1,도시가스,2574692
2017,2,도시가스,2274560
2017,3,도시가스,1957993
2017,4,도시가스,1307249
2017,5,도시가스,993076
2017,6,도시가스,885183
2017,7,도시가스,863888
2017,8,도시가스,838359
2017,9,도시가스,899797
2017,10,도시가스,1068932
2017,11,도시가스,1910205
2017,12,도시가스,2804337
2018,1,도시가스,3027689
2018,2,도시가스,2538408
2018,3,도시가스,1941477
2018,4,도시가스,1391643
2018,5,도시가스,1140831
2018,6,도시가스,990602
2018,7,도시가스,986552
2018,8,도시가스,928513
2018,9,도시가스,945836
2018,10,도시가스,1362129
2018,11,도시가스,1830830
2018,12,도시가스,2719677
2019,1,도시가스,2090097
2019,2,도시가스,1704781
2019,3,도시가스,1725929
2019,4,도시가스,1645257
2019,5,도시가스,1470227
2019,6,도시가스,1335314
2019,7,도시가스,1750082
2019,8,도시가스,1784006
2019,9,도시가스,1424434
2019,10,도시가스,1507941
2019,11,도시가스,1823047
2019,12,도시가스,2364989
2020,1,도시가스,2505392
2020,2,도시가스,2236541
2020,3,도시가스,1870006
2020,4,도시가스,1448897
2020,5,도시가스,976252
2020,6,도시가스,849076
2020,7,도시가스,884905
2020,8,도시가스,854493
2020,9,도시가스,903537
2020,10,도시가스,1215787
2020,11,도시가스,1758309
2020,12,도시가스,2730888
2021,1,도시가스,3070656
2021,2,도시가스,2282910
2021,3,도시가스,1884253
2021,4,도시가스,1354413
2021,5,도시가스,1146485
2021,6,도시가스,971082
2021,7,도시가스,952040
2021,8,도시가스,897211
2021,9,도시가스,914189
2021,10,도시가스,1267766
2021,11,도시가스,1852992
2021,12,도시가스,2701590
2022,1,도시가스,2984980
2022,2,도시가스,2600104
2022,3,도시가스,2055137
2022,4,도시가스,1414808
2022,5,도시가스,1125569
2022,6,도시가스,1014322
2022,7,도시가스,1012864
2022,8,도시가스,922585
2022,9,도시가스,903088
2022,10,도시가스,1226552
2022,11,도시가스,1594940
2022,12,도시가스,2974362
2023,1,도시가스,2849049
2023,2,도시가스,2183538
2023,3,도시가스,1703591
2023,4,도시가스,1270463
2023,5,도시가스,1058013
2023,6,도시가스,908600
2023,7,도시가스,918626
2023,8,도시가스,878449
2023,9,도시가스,887683
2023,10,도시가스,1121286
2023,11,도시가스,1865011
2023,12,도시가스,2664110
2024,1,도시가스,2803483
2024,2,도시가스,2216172
2024,3,도시가스,2020986
2024,4,도시가스,1247463
2024,5,도시가스,1117754
2024,6,도시가스,965801
2024,7,도시가스,964150
2024,8,도시가스,915602
2024,9,도시가스,855056
2024,10,도시가스,1076310
2024,11,도시가스,1583346
2024,12,도시가스,2611085
2025,1,도시가스,2794096
2025,2,도시가스,2665549
2025,3,도시가스,1975460
2025,4,도시가스,1382978
2025,5,도시가스,1126962
2025,6,도시가스,938799
2016,1,발전,1523682
2016,2,발전,1288535
2016,3,발전,1288596
2016,4,발전,875314
2016,5,발전,925388
2016,6,발전,1087449
2016,7,발전,1295236
2016,8,발전,1392225
2016,9,발전,1153324
2016,10,발전,1344809
2016,11,발전,1675857
2016,12,발전,1502323
2017,1,발전,1478392
2017,2,발전,1299962
2017,3,발전,1259813
2017,4,발전,823351
2017,5,발전,739145
2017,6,발전,1043601
2017,7,발전,1270980
2017,8,발전,1097295
2017,9,발전,789514
2017,10,발전,803571
2017,11,발전,1362274
2017,12,발전,1788651
2018,1,발전,1851065
2018,2,발전,1530094
2018,3,발전,1535664
2018,4,발전,1350517
2018,5,발전,1204836
2018,6,발전,1231857
2018,7,발전,1373161
2018,8,발전,1371400
2018,9,발전,893260
2018,10,발전,1222543
2018,11,발전,1271088
2018,12,발전,1570026
2019,1,발전,1613883
2019,2,발전,1262381
2019,3,발전,1250867
2019,4,발전,1192183
2019,5,발전,1019207
2019,6,발전,927813
2019,7,발전,1225581
2019,8,발전,1246864
2019,9,발전,1023674
2019,10,발전,989695
2019,11,발전,1297858
2019,12,발전,1724387
2020,1,발전,1612846
2020,2,발전,1379307
2020,3,발전,1315188
2020,4,발전,810138
2020,5,발전,652356
2020,6,발전,916078
2020,7,발전,910671
2020,8,발전,1262529
2020,9,발전,1100756
2020,10,발전,1074920
2020,11,발전,1282200
2020,12,발전,1802451
2021,1,발전,1874142
2021,2,발전,1442713
2021,3,발전,1562551
2021,4,발전,1415235
2021,5,발전,1167464
2021,6,발전,1324032
2021,7,발전,1625027
2021,8,발전,1387172
2021,9,발전,1319152
2021,10,발전,1386757
2021,11,발전,1514982
2021,12,발전,1563137
2022,1,발전,1684380
2022,2,발전,1578342
2022,3,발전,1811009
2022,4,발전,1303227
2022,5,발전,1399232
2022,6,발전,1470959
2022,7,발전,1581344
2022,8,발전,1372008
2022,9,발전,1340268
2022,10,발전,1375141
2022,11,발전,1612298
2022,12,발전,2036367
2023,1,발전,1781686
2023,2,발전,1755022
2023,3,발전,1438643
2023,4,발전,1220994
2023,5,발전,1092116
2023,6,발전,1193304
2023,7,발전,1363873
2023,8,발전,1433046
2023,9,발전,1249593
2023,10,발전,1131972
2023,11,발전,1237333
2023,12,발전,1416034
2024,1,발전,1618307
2024,2,발전,1280397
2024,3,발전,1399924
2024,4,발전,1055133
2024,5,발전,1160618
2024,6,발전,1317874
2024,7,발전,1471049
2024,8,발전,1643349
2024,9,발전,1281922
2024,10,발전,1056291
2024,11,발전,1088176
2024,12,발전,1351044
2025,1,발전,1503429
2025,2,발전,1545019
2025,3,발전,1380445
2025,4,발전,1240976
2025,5,발전,1262676
2025,6,발전,1063121
